local_match_id,home_team,away_team,kickoff_at,fifa_url,fifa_match_id,source_status,notes
500-1359227,卡塔尔,瑞士,2026-06-13T19:00:00Z,,,missing_url_mapping,official FIFA Match Centre URL not verified yet
500-1359195,巴西,摩洛哥,2026-06-13T22:00:00Z,,,missing_url_mapping,official FIFA Match Centre URL not verified yet
500-1359230,海地,苏格兰,2026-06-14T01:00:00Z,,,missing_url_mapping,official FIFA Match Centre URL not verified yet
500-1359233,澳大利亚,土耳其,2026-06-14T04:00:00Z,,,missing_url_mapping,official FIFA Match Centre URL not verified yet
500-1359200,德国,库拉索,2026-06-14T17:00:00Z,,,missing_url_mapping,official FIFA Match Centre URL not verified yet
500-1359203,荷兰,日本,2026-06-14T20:00:00Z,,,missing_url_mapping,official FIFA Match Centre URL not verified yet
