match_id,match_num,stage,group_name,home_team,away_team,kickoff_at,venue,status
wc26-050,M050,Group stage,B,Bosnia & Herzegovina,Qatar,2026-06-24T19:00:00Z,"Seattle, USA",no_market
wc26-051,M051,Group stage,C,Morocco,Haiti,2026-06-24T22:00:00Z,"Atlanta, USA",no_market
wc26-052,M052,Group stage,C,Scotland,Brazil,2026-06-24T22:00:00Z,"Miami, USA",no_market
wc26-053,M053,Group stage,A,South Africa,South Korea,2026-06-25T01:00:00Z,"Guadalupe, Mexico",no_market
wc26-054,M054,Group stage,A,Czech Republic,Mexico,2026-06-25T01:00:00Z,"Mexico City, Mexico",no_market
wc26-055,M055,Group stage,E,Curacao,Ivory Coast,2026-06-25T20:00:00Z,"Philadelphia, USA",no_market
wc26-056,M056,Group stage,E,Ecuador,Germany,2026-06-25T20:00:00Z,"New Jersey, USA",no_market
wc26-057,M057,Group stage,F,Tunisia,Netherlands,2026-06-25T23:00:00Z,"Kansas City, USA",no_market
wc26-058,M058,Group stage,F,Japan,Sweden,2026-06-25T23:00:00Z,"Arlington, USA",no_market
wc26-059,M059,Group stage,D,Turkey,USA,2026-06-26T02:00:00Z,"Los Angeles, USA",no_market
wc26-060,M060,Group stage,D,Paraguay,Australia,2026-06-26T02:00:00Z,"Santa Clara, USA",no_market
wc26-061,M061,Group stage,I,Norway,France,2026-06-26T19:00:00Z,"Foxborough, USA",no_market
wc26-062,M062,Group stage,I,Senegal,Iraq,2026-06-26T19:00:00Z,"Toronto, Canada",no_market
wc26-063,M063,Group stage,H,Cape Verde,Saudi Arabia,2026-06-27T00:00:00Z,"Houston, USA",no_market
wc26-064,M064,Group stage,H,Uruguay,Spain,2026-06-27T00:00:00Z,"Zapopan, Mexico",no_market
wc26-065,M065,Group stage,G,New Zealand,Belgium,2026-06-27T03:00:00Z,"Vancouver, Canada",no_market
wc26-066,M066,Group stage,G,Egypt,Iran,2026-06-27T03:00:00Z,"Seattle, USA",no_market
wc26-067,M067,Group stage,L,Panama,England,2026-06-27T21:00:00Z,"New Jersey, USA",no_market
wc26-068,M068,Group stage,L,Croatia,Ghana,2026-06-27T21:00:00Z,"Philadelphia, USA",no_market
wc26-069,M069,Group stage,K,Colombia,Portugal,2026-06-27T23:00:00Z,"Miami, USA",no_market
wc26-070,M070,Group stage,K,DR Congo,Uzbekistan,2026-06-27T23:00:00Z,"Atlanta, USA",no_market
