statsbomb_player_name,statsbomb_team,candidate_project_players,reason
Nikola Milenković,Serbia,,no_exact_project_roster_match
Saša Lukić,Serbia,,no_exact_project_roster_match
Sergej Milinković-Savić,Serbia,,no_exact_project_roster_match
Srđan Babić,Serbia,,no_exact_project_roster_match
Stefan Mitrović,Serbia,,no_exact_project_roster_match
Strahinja Pavlović,Serbia,,no_exact_project_roster_match
Vanja Milinković Savić,Serbia,,no_exact_project_roster_match
Chang-Hoon Kwon,South Korea,,no_exact_project_roster_match
Chul Hong,South Korea,,no_exact_project_roster_match
Gue-Sung Cho,South Korea,,no_exact_project_roster_match
Hee-Chan Hwang,South Korea,,no_exact_project_roster_match
Heung-Min Son,South Korea,,no_exact_project_roster_match
In-Beom Hwang,South Korea,,no_exact_project_roster_match
Jae-Sung Lee,South Korea,,no_exact_project_roster_match
Jin-Su Kim,South Korea,,no_exact_project_roster_match
Jun-Ho Son,South Korea,,no_exact_project_roster_match
Kang-In Lee,South Korea,,no_exact_project_roster_match
Kyung-Won Kwon,South Korea,,no_exact_project_roster_match
Min Jae Kim,South Korea,,no_exact_project_roster_match
Moon-Hwan Kim,South Korea,,no_exact_project_roster_match
Sang-Ho Na,South Korea,,no_exact_project_roster_match
Seung-Gyu Kim,South Korea,,no_exact_project_roster_match
Seung-Ho Paik,South Korea,,no_exact_project_roster_match
Ui-Jo Hwang,South Korea,,no_exact_project_roster_match
Woo-Yeong Jeong,South Korea,,no_exact_project_roster_match
Woo-Young Jung,South Korea,,no_exact_project_roster_match
Young-Gwon Kim,South Korea,,no_exact_project_roster_match
Alejandro Balde Martínez,Spain,,no_exact_project_roster_match
Anssumane Fati,Spain,,no_exact_project_roster_match
Aymeric Laporte,Spain,,no_exact_project_roster_match
Carlos Soler Barragán,Spain,,no_exact_project_roster_match
César Azpilicueta Tanco,Spain,,no_exact_project_roster_match
Daniel Carvajal Ramos,Spain,,no_exact_project_roster_match
Daniel Olmo Carvajal,Spain,,no_exact_project_roster_match
Ferrán Torres García,Spain,,no_exact_project_roster_match
Jordi Alba Ramos,Spain,,no_exact_project_roster_match
Jorge Resurrección Merodio,Spain,,no_exact_project_roster_match
Marco Asensio Willemsen,Spain,,no_exact_project_roster_match
Marcos Llorente Moreno,Spain,,no_exact_project_roster_match
Nicholas Williams Arthuer,Spain,,no_exact_project_roster_match
Pablo Martín Páez Gavira,Spain,Spain::GAVI,no_exact_project_roster_match
Pau Francisco Torres,Spain,,no_exact_project_roster_match
Pedro González López,Spain,,no_exact_project_roster_match
Rodrigo Hernández Cascante,Spain,Spain::RODRI,no_exact_project_roster_match
Sergio Busquets i Burgos,Spain,,no_exact_project_roster_match
Unai Simón Mendibil,Spain,,no_exact_project_roster_match
Álvaro Borja Morata Martín,Spain,,no_exact_project_roster_match
Ardon Jashari,Switzerland,,no_exact_project_roster_match
Breel-Donald Embolo,Switzerland,,no_exact_project_roster_match
Christian Fassnacht,Switzerland,,no_exact_project_roster_match
Denis Lemi Zakaria Lako Lado,Switzerland,,no_exact_project_roster_match
Djibril Sow,Switzerland,,no_exact_project_roster_match
Edimilson Fernandes,Switzerland,,no_exact_project_roster_match
Eray Ervin Cömert,Switzerland,,no_exact_project_roster_match
Fabian Frei,Switzerland,,no_exact_project_roster_match
Fabian Lukas Schär,Switzerland,,no_exact_project_roster_match
Fabian Rieder,Switzerland,,no_exact_project_roster_match
Granit Xhaka,Switzerland,,no_exact_project_roster_match
Gregor Kobel,Switzerland,,no_exact_project_roster_match
Haris Seferović,Switzerland,,no_exact_project_roster_match
Manuel Obafemi Akanji,Switzerland,,no_exact_project_roster_match
Michel Aebischer,Switzerland,,no_exact_project_roster_match
Nico Elvedi,Switzerland,,no_exact_project_roster_match
Noah Okafor,Switzerland,,no_exact_project_roster_match
Remo Freuler,Switzerland,,no_exact_project_roster_match
Renato Steffen,Switzerland,,no_exact_project_roster_match
Ricardo Iván Rodríguez Araya,Switzerland,,no_exact_project_roster_match
Ruben Vargas,Switzerland,,no_exact_project_roster_match
Silvan Widmer,Switzerland,,no_exact_project_roster_match
Xherdan Shaqiri,Switzerland,,no_exact_project_roster_match
Yann Sommer,Switzerland,,no_exact_project_roster_match
Ali Abdi,Tunisia,,no_exact_project_roster_match
Ali Maâloul,Tunisia,,no_exact_project_roster_match
Anis Ben Slimane,Tunisia,,no_exact_project_roster_match
Aymen Dahmen,Tunisia,,no_exact_project_roster_match
Aïssa Bilal Laïdouni,Tunisia,,no_exact_project_roster_match
Dylan Daniel Mahmoud Bronn,Tunisia,,no_exact_project_roster_match
Ellyes Joris Skhiri,Tunisia,,no_exact_project_roster_match
Ferjani Sassi,Tunisia,,no_exact_project_roster_match
Ghilane Chalali,Tunisia,,no_exact_project_roster_match
Hannibal Mejbri,Tunisia,,no_exact_project_roster_match
Issam Jebali,Tunisia,,no_exact_project_roster_match
Mohamed Ali Ben Romdhane,Tunisia,,no_exact_project_roster_match
Mohamed Dräger,Tunisia,,no_exact_project_roster_match
Montassar Omar Talbi,Tunisia,,no_exact_project_roster_match
Nader Ghandri,Tunisia,,no_exact_project_roster_match
Naïm Sliti,Tunisia,,no_exact_project_roster_match
Taha Yassine Khenissi,Tunisia,,no_exact_project_roster_match
Wahbi Khazri,Tunisia,,no_exact_project_roster_match
Wajdi Kechrida,Tunisia,,no_exact_project_roster_match
Yassine Meriah,Tunisia,,no_exact_project_roster_match
Youssef Msakni,Tunisia,,no_exact_project_roster_match
Antonee Robinson,United States,,no_exact_project_roster_match
Brenden Aaronson,United States,,no_exact_project_roster_match
Cameron Carter-Vickers,United States,,no_exact_project_roster_match
Christian Pulisic,United States,,no_exact_project_roster_match
DeAndre Yedlin,United States,,no_exact_project_roster_match
Giovanni Reyna,United States,,no_exact_project_roster_match
Haji Wright,United States,,no_exact_project_roster_match
Jesus Ferreira,United States,,no_exact_project_roster_match
Jordan Morris,United States,,no_exact_project_roster_match
Joshua Sargent,United States,,no_exact_project_roster_match
Kellyn Kai Perry-Acosta,United States,,no_exact_project_roster_match
Matthew Charles Turner,United States,,no_exact_project_roster_match
Sergino Dest,United States,,no_exact_project_roster_match
Shaquell Moore,United States,,no_exact_project_roster_match
Tim Ream,United States,,no_exact_project_roster_match
Timothy Weah,United States,,no_exact_project_roster_match
Tyler Adams,United States,,no_exact_project_roster_match
Walker Zimmerman,United States,,no_exact_project_roster_match
Weston McKennie,United States,,no_exact_project_roster_match
Yunus Dimoara Musah,United States,,no_exact_project_roster_match
Agustín Canobbio Graviz,Uruguay,,no_exact_project_roster_match
Darwin Gabriel Núñez Ribeiro,Uruguay,,no_exact_project_roster_match
Diego Nicolás De La Cruz Arcosa,Uruguay,,no_exact_project_roster_match
Diego Roberto Godín Leal,Uruguay,,no_exact_project_roster_match
Edinson Roberto Cavani Gómez,Uruguay,,no_exact_project_roster_match
Facundo Pellistri Rebollo,Uruguay,,no_exact_project_roster_match
Federico Santiago Valverde Dipetta,Uruguay,,no_exact_project_roster_match
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,,no_exact_project_roster_match
Guillermo Varela Olivera,Uruguay,,no_exact_project_roster_match
José Martín Cáceres Silva,Uruguay,,no_exact_project_roster_match
José María Giménez de Vargas,Uruguay,,no_exact_project_roster_match
Luis Alberto Suárez Díaz,Uruguay,,no_exact_project_roster_match
Mathías Olivera Miramontes,Uruguay,,no_exact_project_roster_match
Matías Nicolás Viña Susperreguy,Uruguay,,no_exact_project_roster_match
Matías Vecino Falero,Uruguay,,no_exact_project_roster_match
Maximiliano Gómez González,Uruguay,,no_exact_project_roster_match
Rodrigo Bentancur Colmán,Uruguay,,no_exact_project_roster_match
Sebastián Coates Nión,Uruguay,,no_exact_project_roster_match
Sergio Rochet Álvarez,Uruguay,,no_exact_project_roster_match
Aaron Ramsey,Wales,,no_exact_project_roster_match
Ben Davies,Wales,,no_exact_project_roster_match
Brennan Johnson,Wales,,no_exact_project_roster_match
Chris Mepham,Wales,,no_exact_project_roster_match
Connor Roberts,Wales,,no_exact_project_roster_match
Daniel James,Wales,,no_exact_project_roster_match
Daniel Ward,Wales,,no_exact_project_roster_match
Ethan Ampadu,Wales,,no_exact_project_roster_match
Gareth Frank Bale,Wales,,no_exact_project_roster_match
Harry Wilson,Wales,,no_exact_project_roster_match
Joe Allen,Wales,,no_exact_project_roster_match
Joe Rodon,Wales,,no_exact_project_roster_match
Joseff Morrell,Wales,,no_exact_project_roster_match
Kieffer Roberto Francisco Moore,Wales,,no_exact_project_roster_match
Neco Williams,Wales,,no_exact_project_roster_match
Rubin Colwill,Wales,,no_exact_project_roster_match
Wayne Hennessey,Wales,,no_exact_project_roster_match
